
[<DEVICE ID 1bfa:0498 on Bus 001 Address 011>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
---------------------------------------------------------------------------------
   2018-07-18 16:37:22.601442   +0.00444 T   -0.00460 T   -0.00324 T   0.00717 T
   2018-07-18 16:37:24.689427   +0.00464 T   -0.00442 T   -0.00436 T   0.00775 T
   2018-07-18 16:37:26.779364   +0.00492 T   -0.00483 T   -0.00391 T   0.00793 T
   2018-07-18 16:37:28.868769   +0.00505 T   -0.00373 T   -0.00346 T   0.00717 T
   2018-07-18 16:37:30.958429   +0.00393 T   -0.00341 T   -0.00332 T   0.00617 T
   2018-07-18 16:37:33.048139   +0.00486 T   -0.00473 T   -0.00440 T   0.00808 T
   2018-07-18 16:37:35.137866   +0.00518 T   -0.00444 T   -0.00454 T   0.00819 T
   2018-07-18 16:37:37.227510   +0.00530 T   -0.00468 T   -0.00437 T   0.00831 T
   2018-07-18 16:37:39.317192   +0.00400 T   -0.00388 T   -0.00392 T   0.00681 T
   2018-07-18 16:37:41.406981   +0.00558 T   -0.00479 T   -0.00419 T   0.00846 T
   2018-07-18 16:37:43.496477   +0.00463 T   -0.00343 T   -0.00378 T   0.00689 T
   2018-07-18 16:37:45.586172   +0.00510 T   -0.00431 T   -0.00432 T   0.00795 T
   2018-07-18 16:37:47.675838   +0.00411 T   -0.00382 T   -0.00373 T   0.00674 T
   2018-07-18 16:37:49.765802   +0.00490 T   -0.00349 T   -0.00317 T   0.00680 T
   2018-07-18 16:37:51.855222   +0.00534 T   -0.00482 T   -0.00452 T   0.00850 T
   2018-07-18 16:37:53.944902   +0.00410 T   -0.00394 T   -0.00454 T   0.00728 T
   2018-07-18 16:37:56.034576   +0.00485 T   -0.00433 T   -0.00422 T   0.00775 T
   2018-07-18 16:37:58.124269   +0.00468 T   -0.00417 T   -0.00476 T   0.00787 T
   2018-07-18 16:38:00.213984   +0.00484 T   -0.00432 T   -0.00435 T   0.00781 T
   2018-07-18 16:38:02.303875   +0.00418 T   -0.00413 T   -0.00391 T   0.00706 T
   2018-07-18 16:38:04.393730   +0.00421 T   -0.00356 T   -0.00366 T   0.00662 T
   2018-07-18 16:38:06.483195   +0.00451 T   -0.00430 T   -0.00351 T   0.00715 T
   2018-07-18 16:38:08.572875   +0.00464 T   -0.00410 T   -0.00472 T   0.00779 T
   2018-07-18 16:38:10.662504   +0.00494 T   -0.00454 T   -0.00415 T   0.00789 T
   2018-07-18 16:38:12.752503   +0.00479 T   -0.00319 T   -0.00347 T   0.00672 T
   2018-07-18 16:38:14.841902   +0.00574 T   -0.00454 T   -0.00443 T   0.00855 T
   2018-07-18 16:38:16.931664   +0.00444 T   -0.00315 T   -0.00358 T   0.00652 T
   2018-07-18 16:38:19.021366   +0.00509 T   -0.00376 T   -0.00372 T   0.00734 T
   2018-07-18 16:38:21.111086   +0.00413 T   -0.00389 T   -0.00344 T   0.00663 T
   2018-07-18 16:38:23.200714   +0.00458 T   -0.00433 T   -0.00452 T   0.00776 T
   2018-07-18 16:38:25.290807   +0.00426 T   -0.00402 T   -0.00328 T   0.00671 T
   2018-07-18 16:38:27.380073   +0.00502 T   -0.00428 T   -0.00380 T   0.00761 T
   2018-07-18 16:38:29.469712   +0.00505 T   -0.00341 T   -0.00368 T   0.00712 T
   2018-07-18 16:38:31.559529   +0.00567 T   -0.00473 T   -0.00380 T   0.00830 T
   2018-07-18 16:38:33.649084   +0.00488 T   -0.00414 T   -0.00423 T   0.00767 T
   2018-07-18 16:38:35.738838   +0.00422 T   -0.00426 T   -0.00406 T   0.00724 T
   2018-07-18 16:38:37.828426   +0.00356 T   -0.00407 T   -0.00334 T   0.00636 T
   2018-07-18 16:38:39.918362   +0.00482 T   -0.00331 T   -0.00347 T   0.00680 T
   2018-07-18 16:38:42.007718   +0.00465 T   -0.00374 T   -0.00388 T   0.00712 T
   2018-07-18 16:38:44.097674   +0.00389 T   -0.00500 T   -0.00377 T   0.00737 T
   2018-07-18 16:38:46.187273   +0.00545 T   -0.00360 T   -0.00305 T   0.00721 T
   2018-07-18 16:38:48.277769   +0.00387 T   -0.00421 T   -0.00403 T   0.00700 T
   2018-07-18 16:38:50.366672   +0.00450 T   -0.00420 T   -0.00444 T   0.00759 T
   2018-07-18 16:38:52.456366   +0.00497 T   -0.00420 T   -0.00388 T   0.00758 T
   2018-07-18 16:38:54.546049   +0.00481 T   -0.00389 T   -0.00415 T   0.00745 T
   2018-07-18 16:38:56.635743   +0.00448 T   -0.00357 T   -0.00372 T   0.00683 T
   2018-07-18 16:38:58.725454   +0.00493 T   -0.00383 T   -0.00356 T   0.00719 T
   2018-07-18 16:39:00.815084   +0.00385 T   -0.00388 T   -0.00303 T   0.00625 T
   2018-07-18 16:39:02.904880   +0.00524 T   -0.00473 T   -0.00368 T   0.00796 T
   2018-07-18 16:39:04.994239   +0.00447 T   -0.00371 T   -0.00412 T   0.00712 T
   2018-07-18 16:39:07.084183   +0.00474 T   -0.00379 T   -0.00436 T   0.00747 T
   2018-07-18 16:39:09.173760   +0.00539 T   -0.00471 T   -0.00437 T   0.00839 T
---------------------------------------------------------------------------------
