
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
---------------------------------------------------------------------------------
   2018-07-18 14:24:41.603589   +0.00454 T   -0.00416 T   -0.00384 T   0.00726 T
   2018-07-18 14:24:43.693106   +0.00549 T   -0.00417 T   -0.00425 T   0.00810 T
   2018-07-18 14:24:45.783045   +0.00378 T   -0.00390 T   -0.00346 T   0.00644 T
   2018-07-18 14:24:47.872357   +0.00457 T   -0.00452 T   -0.00401 T   0.00758 T
   2018-07-18 14:24:49.952042   +0.00382 T   -0.00330 T   -0.00389 T   0.00637 T
   2018-07-18 14:24:52.041708   +0.00458 T   -0.00347 T   -0.00360 T   0.00678 T
   2018-07-18 14:24:54.131718   +0.00407 T   -0.00403 T   -0.00316 T   0.00654 T
   2018-07-18 14:24:56.221187   +0.00501 T   -0.00386 T   -0.00425 T   0.00762 T
   2018-07-18 14:24:58.310808   +0.00405 T   -0.00309 T   -0.00313 T   0.00598 T
   2018-07-18 14:25:00.400462   +0.00471 T   -0.00418 T   -0.00386 T   0.00739 T
   2018-07-18 14:25:02.490458   +0.00454 T   -0.00387 T   -0.00425 T   0.00732 T
   2018-07-18 14:25:04.579908   +0.00392 T   -0.00329 T   -0.00372 T   0.00633 T
   2018-07-18 14:25:06.669795   +0.00515 T   -0.00458 T   -0.00436 T   0.00816 T
   2018-07-18 14:25:08.759513   +0.00421 T   -0.00490 T   -0.00465 T   0.00796 T
   2018-07-18 14:25:10.849057   +0.00484 T   -0.00474 T   -0.00409 T   0.00791 T
   2018-07-18 14:25:12.938801   +0.00435 T   -0.00383 T   -0.00367 T   0.00686 T
   2018-07-18 14:25:15.028443   +0.00562 T   -0.00383 T   -0.00339 T   0.00760 T
   2018-07-18 14:25:17.118366   +0.00533 T   -0.00370 T   -0.00328 T   0.00727 T
   2018-07-18 14:25:19.207924   +0.00499 T   -0.00413 T   -0.00422 T   0.00773 T
   2018-07-18 14:25:21.297644   +0.00435 T   -0.00307 T   -0.00312 T   0.00617 T
   2018-07-18 14:25:23.387126   +0.00484 T   -0.00429 T   -0.00368 T   0.00744 T
