
USBTMC   devices: [<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
USBTMC resources: [u'USB::7162::1176::0000803::INSTR']
Setting timeout to 10 seconds
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1

Resetting probe
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
Temp,gain calib? ON
Averaging 100 samples per measurement
-----------------------------------------------------------------------------------------
                         date             Bx             By             Bz            |B|
-----------------------------------------------------------------------------------------
   2018-07-24 15:40:37.832294     -0.00661 T     +0.10117 T     +0.00216 T      0.10141 T
   2018-07-24 15:40:39.922530    -0.005318 T    +0.101026 T    -0.005405 T      0.10131 T
   2018-07-24 15:40:42.007145    -0.000257 T    +0.100839 T    +0.010437 T      0.10138 T
   2018-07-24 15:40:44.091660    +0.001064 T    +0.100776 T    +0.009946 T      0.10127 T
   2018-07-24 15:40:46.176219    +0.003673 T    +0.100889 T    +0.007679 T      0.10125 T
   2018-07-24 15:40:48.260891    +0.003176 T    +0.100958 T    +0.007777 T      0.10131 T
   2018-07-24 15:40:50.345651    +0.004790 T    +0.101022 T    +0.005538 T      0.10129 T
   2018-07-24 15:40:52.430326    +0.004945 T    +0.101128 T    +0.003110 T      0.10130 T
   2018-07-24 15:40:54.515123    +0.010630 T    +0.098950 T    -0.017398 T      0.10103 T
   2018-07-24 15:40:56.599989    +0.017850 T    -0.098374 T    -0.017353 T      0.10148 T
   2018-07-24 15:40:58.684834    +0.018129 T    -0.096148 T    -0.027297 T      0.10158 T
   2018-07-24 15:41:00.769882    +0.019433 T    -0.099167 T    -0.006393 T      0.10126 T
   2018-07-24 15:41:02.854865    +0.011607 T    -0.100481 T    -0.000486 T      0.10115 T
   2018-07-24 15:41:04.939808    +0.013223 T    -0.100291 T    +0.001710 T      0.10117 T
   2018-07-24 15:41:07.024524    +0.009137 T    -0.100677 T    +0.001303 T      0.10110 T
   2018-07-24 15:41:09.109191    +0.008609 T    -0.100725 T    +0.001593 T      0.10110 T
   2018-07-24 15:41:11.193871    +0.006498 T    -0.100780 T    +0.004423 T      0.10109 T
   2018-07-24 15:41:13.278548    +0.008159 T    -0.100735 T    +0.003235 T      0.10112 T
   2018-07-24 15:41:15.363199    +0.008128 T    -0.100815 T    -0.003041 T      0.10119 T
   2018-07-24 15:41:17.447890    +0.008983 T    -0.100609 T    -0.006524 T      0.10122 T
   2018-07-24 15:41:19.532538    +0.006685 T    -0.099886 T    -0.014910 T      0.10121 T
   2018-07-24 15:41:21.617407    +0.003764 T    -0.087740 T    -0.050711 T      0.10141 T
   2018-07-24 15:41:23.702162    +0.001016 T    -0.078565 T    -0.064115 T      0.10141 T
   2018-07-24 15:41:25.786804    -0.001376 T    -0.077216 T    -0.065718 T      0.10141 T
   2018-07-24 15:41:27.871679    +0.004509 T    -0.074287 T    -0.069100 T      0.10156 T
   2018-07-24 15:41:29.956506    +0.012336 T    -0.069370 T    -0.073218 T      0.10161 T
   2018-07-24 15:41:32.041287    +0.015349 T    -0.066865 T    -0.074947 T      0.10160 T
   2018-07-24 15:41:34.126162    +0.015582 T    -0.066386 T    -0.075320 T      0.10160 T
   2018-07-24 15:41:36.210863    +0.008081 T    -0.066891 T    -0.076007 T      0.10157 T
   2018-07-24 15:41:38.295648    +0.012382 T    -0.065410 T    -0.076750 T      0.10160 T
   2018-07-24 15:41:40.380728    +0.015643 T    -0.066827 T    -0.075039 T      0.10169 T
   2018-07-24 15:41:42.465095    +0.008593 T    -0.061733 T    -0.080207 T      0.10158 T
   2018-07-24 15:41:44.550399    +0.007630 T    -0.081469 T    -0.060147 T      0.10155 T
   2018-07-24 15:41:46.634736    +0.007785 T    -0.080534 T    -0.061403 T      0.10157 T
   2018-07-24 15:41:48.719095    +0.007847 T    -0.080531 T    -0.061415 T      0.10158 T
   2018-07-24 15:41:50.803923    +0.007258 T    -0.080939 T    -0.060921 T      0.10156 T
   2018-07-24 15:41:52.888466    +0.003950 T    -0.082227 T    -0.059458 T      0.10155 T
   2018-07-24 15:41:54.973044    +0.003764 T    -0.082907 T    -0.058494 T      0.10153 T
   2018-07-24 15:41:57.057762    +0.004850 T    -0.082798 T    -0.058528 T      0.10151 T
   2018-07-24 15:41:59.142463    +0.004789 T    -0.082624 T    -0.058819 T      0.10153 T
   2018-07-24 15:42:01.227068    +0.003918 T    -0.083277 T    -0.057905 T      0.10151 T
   2018-07-24 15:42:03.311787    +0.004261 T    -0.083003 T    -0.058285 T      0.10151 T
-----------------------------------------------------------------------------------------
