
USBTMC   devices: [<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
USBTMC resources: [u'USB::7162::1176::0000803::INSTR']
Setting timeout to 10 seconds
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1

Resetting probe
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
Temp,gain calib? ON
Averaging 100 samples per measurement
-----------------------------------------------------------------------------------------
                         date             Bx             By             Bz            |B|
-----------------------------------------------------------------------------------------
   2018-07-24 15:21:51.497811     +0.00090 T     -0.00087 T     -0.00073 T      0.00145 T
   2018-07-24 15:21:53.588381    +0.000433 T    -0.000190 T    -0.000298 T      0.00056 T
   2018-07-24 15:21:55.677627    +0.000033 T    +0.000024 T    -0.000136 T      0.00014 T
   2018-07-24 15:21:57.759420    -0.000099 T    -0.000063 T    -0.000007 T      0.00012 T
   2018-07-24 15:21:59.842052    -0.000102 T    -0.000059 T    -0.000012 T      0.00012 T
   2018-07-24 15:22:01.924273    -0.000097 T    -0.000051 T    -0.000012 T      0.00011 T
   2018-07-24 15:22:04.006572    -0.000103 T    -0.000059 T    -0.000001 T      0.00012 T
   2018-07-24 15:22:06.088716    -0.000106 T    -0.000047 T    -0.000009 T      0.00012 T
   2018-07-24 15:22:08.170721    -0.000112 T    -0.000051 T    -0.000007 T      0.00012 T
   2018-07-24 15:22:10.252803    -0.000101 T    -0.000041 T    -0.000005 T      0.00011 T
   2018-07-24 15:22:12.334901    -0.000087 T    -0.000048 T    -0.000016 T      0.00010 T
   2018-07-24 15:22:14.416968    -0.000116 T    -0.000055 T    +0.000001 T      0.00013 T
   2018-07-24 15:22:16.499216    -0.000105 T    -0.000047 T    -0.000002 T      0.00012 T
   2018-07-24 15:22:18.581321    -0.000132 T    -0.000050 T    -0.000009 T      0.00014 T
   2018-07-24 15:22:20.663340    -0.000122 T    -0.000055 T    +0.000001 T      0.00013 T
   2018-07-24 15:22:22.745448    -0.000115 T    -0.000032 T    +0.000003 T      0.00012 T
   2018-07-24 15:22:24.827661    -0.000116 T    -0.000044 T    +0.000011 T      0.00012 T
   2018-07-24 15:22:26.909891    -0.000126 T    -0.000045 T    -0.000011 T      0.00013 T
   2018-07-24 15:22:28.991945    -0.000120 T    -0.000043 T    +0.000004 T      0.00013 T
   2018-07-24 15:22:31.073914    -0.000132 T    -0.000045 T    -0.000007 T      0.00014 T
   2018-07-24 15:22:33.155942    -0.000125 T    -0.000040 T    -0.000000 T      0.00013 T
   2018-07-24 15:22:35.238337    -0.000121 T    -0.000045 T    -0.000011 T      0.00013 T
   2018-07-24 15:22:37.320480    -0.000108 T    -0.000038 T    -0.000003 T      0.00011 T
   2018-07-24 15:22:39.402560    -0.000100 T    -0.000036 T    -0.000002 T      0.00011 T
   2018-07-24 15:22:41.484788    -0.000110 T    -0.000058 T    -0.000013 T      0.00013 T
   2018-07-24 15:22:43.567058    -0.000124 T    -0.000038 T    +0.000001 T      0.00013 T
   2018-07-24 15:22:45.649508    -0.000116 T    -0.000047 T    -0.000013 T      0.00013 T
   2018-07-24 15:22:47.731351    -0.000099 T    -0.000045 T    -0.000002 T      0.00011 T
   2018-07-24 15:22:49.813765    -0.000113 T    -0.000035 T    -0.000021 T      0.00012 T
   2018-07-24 15:22:51.896081    -0.000121 T    -0.000045 T    -0.000012 T      0.00013 T
-----------------------------------------------------------------------------------------
