
USBTMC   devices: [<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
USBTMC resources: [u'USB::7162::1176::0000803::INSTR']
Setting timeout to 10 seconds
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1

Resetting probe
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
Temp,gain calib? ON
Averaging 100 samples per measurement
-----------------------------------------------------------------------------------------
                         date             Bx             By             Bz            |B|
-----------------------------------------------------------------------------------------
   2018-07-24 15:53:00.539434     +0.01608 T     -0.10009 T     +0.00952 T      0.10182 T
   2018-07-24 15:53:02.630437    +0.014764 T    -0.100663 T    +0.010158 T      0.10225 T
   2018-07-24 15:53:04.715266    +0.012926 T    -0.099274 T    +0.019688 T      0.10203 T
   2018-07-24 15:53:06.800195    +0.007505 T    -0.099960 T    +0.018530 T      0.10194 T
   2018-07-24 15:53:08.885107    +0.007910 T    -0.100035 T    +0.017930 T      0.10194 T
   2018-07-24 15:53:10.970101    +0.010022 T    -0.099033 T    +0.022107 T      0.10196 T
   2018-07-24 15:53:13.054782    +0.006233 T    -0.100330 T    +0.017175 T      0.10198 T
   2018-07-24 15:53:15.139411    +0.008841 T    -0.099322 T    +0.022217 T      0.10216 T
   2018-07-24 15:53:17.224518    +0.096225 T    +0.018848 T    -0.019779 T      0.10003 T
   2018-07-24 15:53:19.308990    +0.036267 T    -0.095201 T    +0.009041 T      0.10228 T
   2018-07-24 15:53:21.393884    +0.050537 T    -0.084276 T    -0.008986 T      0.09868 T
   2018-07-24 15:53:23.487708    +0.032384 T    -0.048668 T    -0.006806 T      0.05885 T
   2018-07-24 15:53:25.572185    +0.033638 T    -0.049073 T    -0.005395 T      0.05974 T
   2018-07-24 15:53:27.656740    +0.027826 T    -0.044861 T    -0.008518 T      0.05347 T
   2018-07-24 15:53:29.740834    +0.002413 T    -0.001899 T    -0.002810 T      0.00416 T
-----------------------------------------------------------------------------------------
